from,to,source
1208,1820-07-25,"Th OC-91"
964,1820-07-25,"Th OC-91"
343,1820-07-26,"Th OC-91"
1310,1820-07-26,"Th OC-91"
640,1820-07-26,"Th OC-91"
1144,1820-07-27,"Th OC-91"
822,1820-07-27,"Th OC-91"
36,1820-07-27,"Th OC-91"
1470,1820-07-29,"Th OC-91"
453,1820-07-29,"Th OC-91"
1280,1820-07-30,"Th OC-91"
343,1820-07-30,"Th OC-91"
36,1820-07-30,"Th OC-91"
225,1820-07-31,"Th OC-91"
453,1820-07-31,"Th OC-91"
544,1820-08-01,"Th OC-91"
36,1820-08-01,"Th OC-91"
453,1820-08-02,"Th OC-91"
1266,1820-08-03,"Th OC-91"
1108,1820-08-03,"Th OC-91"
1631,1820-08-03,"Th OC-91"
453,1820-08-04,"Th OC-91"
343,1820-08-05,"Th OC-91"
730,1820-08-05,"Th OC-91"
1086,1820-08-06,"Th OC-91"
544,1820-08-06,"Th OC-91"
1631,1820-08-07,"Th OC-91"
36,1820-08-07,"Th OC-91"
640,1820-08-07,"Th OC-91"
343,1820-08-08,"Th OC-91"
453,1820-08-08,"Th OC-91"
1527,1820-08-09,"Th OC-91"
762,1820-08-09,"Th OC-91"
1631,1820-08-10,"Th OC-91"
453,1820-08-10,"Th OC-91"
1108,1820-08-11,"Th OC-91"
1208,1820-08-11,"Th OC-91"
543,1820-08-11,"Th OC-91"
219,1820-08-12,"Th OC-91"
965,1820-08-12,"Th OC-91"
1878,1820-08-13,"Th OC-91"
1144,1820-08-13,"Th OC-91"
1550,1820-08-14,"Th OC-91"
762,1820-08-14,"Th OC-91"
1803,1820-08-15,"Th OC-91"
1527,1820-08-15,"Th OC-91"
284,1820-08-15,"Th OC-91"
1596,1820-08-16,"Th OC-91"
1000,1820-08-16,"Th OC-91"
36,1820-08-17,"Th OC-91"
964,1820-08-17,"Th OC-91"
1803,1820-08-19,"Th OC-91"
284,1820-08-19,"Th OC-91"
36,1820-08-19,"Th OC-91"
1086,1820-08-20,"Th OC-91"
29,1820-08-20,"Th OC-91"
51,1820-08-21,"Th OC-91"
36,1820-08-21,"Th OC-91"
219,1820-08-22,"Th OC-91"
640,1820-08-22,"Th OC-91"
990,1820-08-23,"Th OC-91"
16,1820-08-23,"Th OC-91"
1550,1820-08-24,"Th OC-91"
1108,1820-08-24,"Th OC-91"
762,1820-08-26,"Th OC-91"
343,1820-08-26,"Th OC-91"
544,1820-08-27,"Th OC-91"
936,1820-08-27,"Th OC-91"
1108,1820-08-28,"Th OC-91"
1631,1820-08-28,"Th OC-91"
284,1820-08-28,"Th OC-91"
1086,1820-08-29,"Th OC-91"
696,1820-08-29,"Th OC-91"
544,1820-08-30,"Th OC-91"
36,1820-08-30,"Th OC-91"
696,1820-08-31,"Th OC-91"
1144,1820-08-31,"Th OC-91"
343,1820-08-31,"Th OC-91"
36,1820-09-01,"Th OC-91"
730,1820-09-01,"Th OC-91"
1550,1820-09-02,"Th OC-91"
1208,1820-09-02,"Th OC-91"
408,1820-09-03,"Th OC-91"
36,1820-09-03,"Th OC-91"
1878,1820-09-04,"Th OC-91"
1803,1820-09-04,"Th OC-91"
1631,1820-09-05,"Th OC-91"
1280,1820-09-05,"Th OC-91"
36,1820-09-05,"Th OC-91"
1550,1820-09-06,"Th OC-91"
1208,1820-09-06,"Th OC-91"
1856,1820-09-07,"Th OC-91"
1741,1820-09-07,"Th OC-91"
696,1820-09-08,"Th OC-91"
36,1820-09-08,"Th OC-91"
1055,1820-09-09,"Th OC-91"
861,1820-09-09,"Th OC-91"
16,1820-09-09,"Th OC-91"
1596,1820-09-10,"Th OC-91"
